frame,class,confidence,x1,y1,x2,y2,width_px,height_px,area_px2
11,UAV,0.1667,869.3,390.7,926.2,426.1,56.8,35.4,2013.3
12,UAV,0.1801,869.6,380.7,922.5,405.7,52.9,25.0,1323.5
14,UAV,0.1716,867.4,354.8,918.0,383.2,50.6,28.4,1438.1
15,UAV,0.1865,867.1,343.1,921.7,370.1,54.6,27.0,1473.2
17,UAV,0.1836,865.1,319.5,922.5,352.1,57.4,32.6,1871.9
18,UAV,0.5312,865.4,308.4,925.6,344.1,60.2,35.7,2149.8
19,UAV,0.5699,863.4,298.7,923.1,335.8,59.6,37.1,2213.6
21,UAV,0.1947,864.6,283.2,919.7,315.8,55.1,32.6,1798.5
22,UAV,0.3757,865.4,274.4,918.8,305.0,53.4,30.7,1638.2
24,UAV,0.6732,865.4,257.3,921.1,298.4,55.7,41.1,2286.7
25,UAV,0.5195,861.2,252.6,919.7,288.6,58.5,36.0,2106.0
27,UAV,0.5689,862.0,240.9,920.0,280.0,57.9,39.1,2265.0
28,UAV,0.7170,864.8,235.1,921.7,275.1,56.8,39.9,2268.9
29,UAV,0.4436,866.5,232.7,920.0,269.0,53.4,36.3,1938.8
30,UAV,0.1533,862.0,227.1,920.0,269.0,57.9,41.9,2427.9
32,UAV,0.6316,862.0,222.5,920.0,263.5,57.9,41.1,2379.1
33,UAV,0.4600,862.9,219.9,919.1,260.4,56.2,40.5,2278.1
34,UAV,0.6496,864.3,219.9,920.0,259.3,55.7,39.4,2192.7
35,UAV,0.5458,866.5,216.8,920.0,258.5,53.4,41.6,2224.3
36,UAV,0.5361,862.9,218.0,922.5,254.0,59.6,36.0,2146.5
37,UAV,0.5010,867.9,216.4,921.9,255.0,54.0,38.5,2080.7
38,UAV,0.5458,862.9,217.7,919.1,252.0,56.2,34.3,1930.1
39,UAV,0.3307,865.4,216.6,918.8,252.6,53.4,36.0,1923.8
40,UAV,0.1518,864.8,215.3,919.4,251.6,54.6,36.3,1979.6
41,UAV,0.2469,862.9,215.4,919.1,252.0,56.2,36.6,2056.6
42,UAV,0.1778,864.8,214.9,919.4,252.0,54.6,37.1,2025.6
44,UAV,0.2203,866.2,216.0,918.0,249.2,51.8,33.2,1717.5
45,UAV,0.4504,864.6,215.0,920.8,251.9,56.2,36.8,2072.5
46,UAV,0.1795,864.8,215.7,921.7,250.0,56.8,34.3,1949.4
47,UAV,0.2111,867.1,213.3,921.7,251.3,54.6,38.0,2071.7
49,UAV,0.2012,868.2,214.0,920.5,250.6,52.3,36.6,1912.7
50,UAV,0.3012,868.8,214.7,922.2,253.3,53.4,38.5,2059.0
53,UAV,0.2858,866.5,215.3,922.2,249.3,55.7,34.0,1895.1
55,UAV,0.1645,866.8,216.7,921.9,249.0,55.1,32.3,1782.9
56,UAV,0.1611,867.7,212.6,921.1,250.3,53.4,37.7,2013.9
58,UAV,0.1556,867.4,212.9,922.5,250.6,55.1,37.7,2077.5
59,UAV,0.1804,868.5,214.9,922.5,252.0,54.0,37.1,2004.8
60,UAV,0.2728,869.1,213.6,923.1,252.1,54.0,38.5,2080.7
61,UAV,0.1827,869.3,214.6,921.7,250.6,52.3,36.0,1883.2
62,UAV,0.3264,868.8,213.9,924.5,251.9,55.7,38.0,2114.4
63,UAV,0.1691,866.5,212.5,922.2,252.1,55.7,39.7,2208.4
64,UAV,0.4130,867.7,213.8,925.6,252.6,57.9,38.8,2248.7
65,UAV,0.1686,866.5,212.9,922.2,250.6,55.7,37.7,2098.7
66,UAV,0.3145,867.1,214.2,923.9,251.6,56.8,37.4,2125.1
67,UAV,0.3372,866.2,211.6,924.8,251.9,58.5,40.2,2352.8
68,UAV,0.3217,867.4,213.6,923.6,252.1,56.2,38.5,2167.4
70,UAV,0.2241,867.9,211.6,923.1,251.9,55.1,40.2,2217.1
71,UAV,0.4177,869.1,213.6,925.3,253.3,56.2,39.7,2230.7
72,UAV,0.1974,869.9,210.9,923.3,250.3,53.4,39.4,2104.1
73,UAV,0.4149,871.0,212.1,924.5,252.0,53.4,39.9,2134.2
74,UAV,0.4844,870.8,211.6,925.9,253.0,55.1,41.3,2279.1
76,UAV,0.4893,871.3,212.2,925.3,252.4,54.0,40.2,2171.8
77,UAV,0.5593,870.8,212.1,925.9,253.7,55.1,41.6,2294.6
78,UAV,0.3785,870.2,209.8,925.3,253.1,55.1,43.3,2387.6
79,UAV,0.4581,869.6,211.4,923.6,253.3,54.0,41.9,2262.9
80,UAV,0.4542,869.3,212.8,923.9,253.0,54.6,40.2,2194.4
81,UAV,0.4990,870.5,210.9,925.0,253.1,54.6,42.2,2301.9
82,UAV,0.2838,871.0,210.5,922.2,251.9,51.2,41.3,2116.3
83,UAV,0.1792,870.2,213.2,924.2,250.3,54.0,37.1,2004.8
84,UAV,0.3277,870.5,210.9,925.0,252.0,54.6,41.1,2240.5
86,UAV,0.1582,868.8,213.3,924.5,250.2,55.7,36.8,2051.7
87,UAV,0.1892,870.2,211.6,925.3,251.9,55.1,40.2,2217.1
88,UAV,0.3016,871.0,209.8,924.5,252.6,53.4,42.8,2284.5
92,UAV,0.1579,867.4,208.7,924.8,252.0,57.4,43.3,2485.1
93,UAV,0.2160,869.3,212.2,921.7,250.2,52.3,38.0,1986.2
94,UAV,0.1895,865.1,212.9,923.6,251.7,58.5,38.8,2270.5
99,UAV,0.3208,868.8,211.8,924.5,252.3,55.7,40.5,2255.3
100,UAV,0.2509,869.9,214.0,923.3,250.6,53.4,36.6,1953.8
