frame,class,confidence,x1,y1,x2,y2,width_px,height_px,area_px2
0,UAV,0.3840,319.0,319.9,381.0,361.1,62.0,41.2,2557.5
0,UAV,0.1784,398.0,292.1,437.5,326.9,39.5,34.8,1372.6
0,UAV,0.1711,332.5,323.2,382.0,359.8,49.5,36.5,1806.8
1,UAV,0.4562,325.8,323.0,381.2,360.5,55.5,37.5,2081.2
2,UAV,0.2854,325.9,322.8,381.1,360.8,55.2,38.0,2099.5
3,UAV,0.1818,326.2,322.8,381.2,360.8,55.0,38.0,2090.0
4,UAV,0.2806,326.0,322.9,381.0,361.1,55.0,38.2,2103.8
5,UAV,0.3576,326.0,323.1,381.0,360.9,55.0,37.8,2076.2
6,UAV,0.4158,325.6,322.8,381.4,360.8,55.8,38.0,2118.5
7,UAV,0.3849,325.5,323.0,381.0,360.5,55.5,37.5,2081.2
8,UAV,0.3961,325.5,323.0,381.0,360.5,55.5,37.5,2081.2
8,UAV,0.1727,398.5,292.8,437.5,327.2,39.0,34.5,1345.5
9,UAV,0.4388,326.0,323.0,381.0,360.5,55.0,37.5,2062.5
9,UAV,0.2088,397.9,292.5,437.1,327.5,39.2,35.0,1373.8
10,UAV,0.4717,325.9,322.9,381.1,360.1,55.2,37.2,2058.1
10,UAV,0.2401,397.9,292.6,437.1,327.4,39.2,34.8,1363.9
11,UAV,0.4158,325.9,323.0,381.1,360.5,55.2,37.5,2071.9
11,UAV,0.1842,397.9,292.5,437.1,327.5,39.2,35.0,1373.8
12,UAV,0.2018,324.9,323.5,380.1,360.5,55.2,37.0,2044.2
13,UAV,0.2108,325.2,323.6,380.2,360.4,55.0,36.8,2021.2
13,UAV,0.1574,396.6,293.0,437.4,328.0,40.8,35.0,1426.2
14,UAV,0.2207,324.9,323.6,380.1,360.4,55.2,36.8,2030.4
14,UAV,0.1651,396.5,293.0,437.5,328.0,41.0,35.0,1435.0
15,UAV,0.1871,325.2,323.5,380.2,360.5,55.0,37.0,2035.0
15,UAV,0.1750,396.6,293.0,437.4,328.0,40.8,35.0,1426.2
16,UAV,0.1525,325.2,323.5,380.2,360.5,55.0,37.0,2035.0
17,UAV,0.1784,325.2,323.5,380.2,360.5,55.0,37.0,2035.0
17,UAV,0.1548,396.5,292.9,437.5,328.1,41.0,35.2,1445.2
18,UAV,0.1691,325.2,323.5,380.2,360.5,55.0,37.0,2035.0
19,UAV,0.1574,325.2,323.5,380.2,360.5,55.0,37.0,2035.0
20,UAV,0.1711,396.5,292.8,437.5,327.8,41.0,35.0,1435.0
20,UAV,0.1551,325.1,323.6,379.9,360.4,54.8,36.8,2012.1
21,UAV,0.1755,396.6,292.8,437.4,327.8,40.8,35.0,1426.2
21,UAV,0.1640,325.1,323.8,379.9,360.8,54.8,37.0,2025.8
22,UAV,0.1590,396.6,292.8,437.4,327.8,40.8,35.0,1426.2
22,UAV,0.1500,325.1,323.6,379.9,360.4,54.8,36.8,2012.1
23,UAV,0.1541,396.6,292.8,437.4,327.8,40.8,35.0,1426.2
23,UAV,0.1541,325.1,323.8,379.9,360.8,54.8,37.0,2025.8
36,UAV,0.1739,324.0,324.0,380.0,361.0,56.0,37.0,2072.0
37,UAV,0.1592,324.0,324.0,380.0,361.0,56.0,37.0,2072.0
38,UAV,0.1700,324.0,324.0,380.0,361.0,56.0,37.0,2072.0
39,UAV,0.1795,324.0,324.0,380.0,361.0,56.0,37.0,2072.0
40,UAV,0.1691,324.0,324.0,380.0,361.0,56.0,37.0,2072.0
41,UAV,0.1711,324.0,324.0,380.0,361.0,56.0,37.0,2072.0
42,UAV,0.2018,324.0,324.0,380.0,361.0,56.0,37.0,2072.0
43,UAV,0.2134,324.0,324.0,380.0,361.0,56.0,37.0,2072.0
43,UAV,0.1579,396.4,293.0,437.6,328.0,41.2,35.0,1443.8
