frame,class,confidence,x1,y1,x2,y2,width_px,height_px,area_px2
28,UAV,0.1574,873.3,247.4,908.7,267.9,35.4,20.5,727.6
31,UAV,0.3132,869.3,237.0,908.2,256.9,38.8,20.0,775.0
32,UAV,0.3277,871.0,233.4,908.7,254.2,37.7,20.8,784.4
33,UAV,0.1510,869.6,231.3,909.0,252.4,39.4,21.1,830.6
34,UAV,0.3951,869.6,230.1,910.1,250.9,40.5,20.8,842.9
37,UAV,0.2337,869.6,228.5,911.2,250.7,41.6,22.2,924.9
38,UAV,0.2502,872.4,226.3,909.6,248.5,37.1,22.2,824.9
39,UAV,0.1907,868.2,225.6,909.3,248.6,41.1,23.1,947.0
40,UAV,0.1621,872.4,225.1,908.4,247.4,36.0,22.2,799.9
47,UAV,0.1755,872.7,222.8,913.8,245.8,41.1,23.1,947.0
51,UAV,0.2316,870.8,222.0,914.6,244.8,43.9,22.8,999.5
74,UAV,0.3049,874.1,221.9,919.1,245.0,45.0,23.1,1037.8
75,UAV,0.3486,875.0,221.9,918.3,245.0,43.3,23.1,998.9
76,UAV,0.2173,875.2,221.6,919.1,244.1,43.9,22.5,987.2
77,UAV,0.1541,874.7,222.2,919.7,244.7,45.0,22.5,1012.5
78,UAV,0.4571,873.3,222.3,917.7,245.7,44.4,23.3,1037.3
79,UAV,0.1719,874.4,222.5,916.6,245.0,42.2,22.5,949.2
81,UAV,0.4216,875.8,222.0,917.4,244.8,41.6,22.8,948.3
84,UAV,0.3049,873.8,222.8,919.4,245.2,45.6,22.5,1025.2
85,UAV,0.2251,875.2,222.3,918.0,244.5,42.8,22.2,949.9
89,UAV,0.1579,873.0,222.6,916.9,244.3,43.9,21.7,950.2
92,UAV,0.1770,874.1,222.5,918.0,244.4,43.9,21.9,962.5
93,UAV,0.1653,873.0,222.6,916.9,244.3,43.9,21.7,950.2
95,UAV,0.2130,872.2,222.2,916.6,244.7,44.4,22.5,999.8
99,UAV,0.3153,873.6,222.0,916.3,243.7,42.8,21.7,925.8
100,UAV,0.3442,872.4,222.0,918.6,244.8,46.1,22.8,1050.8
101,UAV,0.3255,871.0,222.3,917.7,244.5,46.7,22.2,1037.3
102,UAV,0.2890,871.9,223.2,916.9,244.8,45.0,21.7,974.5
106,UAV,0.1747,874.7,223.3,918.6,245.2,43.9,21.9,962.5
107,UAV,0.1845,874.4,222.6,916.6,245.4,42.2,22.8,961.1
110,UAV,0.3766,874.1,222.8,918.0,245.8,43.9,23.1,1011.9
116,UAV,0.3549,879.5,222.8,918.3,245.2,38.8,22.5,873.3
118,UAV,0.4932,874.4,222.2,921.1,245.2,46.7,23.1,1076.7
119,UAV,0.2938,874.7,222.5,918.6,245.0,43.9,22.5,987.2
